package_id,customer_id,customer_type,delivery_date,delivery_days,package_value,package_weight_kg,delivery_cost,region,zone,provider,shipping_type,is_peak_season,is_profitable,distance_km
PKG000000,CUST1259,frecuente,2024-08-16,2.8,0.34,2.67,3.52,Arequipa,Sur,RapidBox,Normal,0,0,93.85361799537182
PKG000001,CUST1354,nuevo,2024-12-25,1.4,0.69,0.82,4.16,Piura,Norte,FastCargo,Normal,1,0,602.0242861835042
PKG000002,CUST0062,frecuente,2024-11-29,16.9,0.36,3.76,5.07,Tacna,Sur,RapidBox,Normal,1,0,263.34913870908986
PKG000003,CUST0237,frecuente,2024-11-13,1.7,1.25,2.05,3.9,Callao,Centro,LogisticX,Normal,1,0,182.58851075519064
PKG000004,CUST0419,nuevo,2024-04-05,3.2,1.1,1.32,2.73,Puno,Sur,LogisticX,Normal,0,0,33.924974092469256
PKG000005,CUST0358,frecuente,2024-04-05,1.5,1.17,2.96,3.55,Lima,Centro,PerúGo,Normal,0,0,33.919258382921036
PKG000006,CUST0228,premium,2024-02-05,6.6,2.84,1.19,2.62,Lima,Centro,PerúGo,Normal,0,1,11.967753721736136
PKG000007,CUST0657,frecuente,2024-12-15,0.5,0.21,1.96,4.35,Pasco,Centro,EnvíaloYa,Normal,1,0,402.2461728959879
PKG000008,CUST0006,frecuente,2024-11-13,2.7,3.5,0.94,4.99,Junín,Centro,RapidBox,Express,1,0,183.8164307254529
PKG000009,CUST0630,premium,2024-11-26,3.2,0.29,1.76,5.6,Apurímac,Sur,FastCargo,Express,1,0,246.25001234091806
PKG000010,CUST1136,nuevo,2024-01-13,3.7,0.46,4.94,5.98,Lima,Centro,RapidBox,Express,0,0,4.159861599827725
PKG000011,CUST1087,premium,2024-12-28,2.2,0.24,1.97,5.04,Lambayeque,Norte,EnvíaloYa,Normal,1,0,700.7114950316624
PKG000012,CUST1527,frecuente,2024-12-11,0.8,1.5,1.44,3.95,San Martín,Oriente,LogisticX,Normal,1,0,357.285908670935
PKG000013,CUST1890,frecuente,2024-05-09,1.8,1.06,1.13,2.66,Piura,Norte,PerúGo,Normal,0,0,47.7375250497894
PKG000014,CUST0133,frecuente,2024-04-20,3.2,0.65,1.21,2.69,Loreto,Oriente,EnvíaloYa,Normal,0,0,40.13579774993267
PKG000015,CUST0107,frecuente,2024-04-21,0.5,0.93,1.41,2.79,Callao,Centro,LogisticX,Normal,0,0,40.52228456645141
PKG000016,CUST1595,nuevo,2024-07-04,2.4,0.96,1.45,2.87,Junín,Centro,LogisticX,Normal,0,0,72.55074589209542
PKG000017,CUST0473,nuevo,2024-11-04,6.8,3.28,1.54,3.53,Tacna,Sur,FastCargo,Normal,1,0,148.7855661721709
PKG000018,CUST0049,frecuente,2024-09-20,8.2,0.27,0.7,2.58,Lima,Centro,RapidBox,Normal,0,0,113.10741335606733
PKG000019,CUST1091,premium,2024-06-26,3.2,0.26,1.4,2.84,Callao,Centro,FastCargo,Normal,0,0,68.8445985107883
PKG000020,CUST0521,premium,2024-11-14,1.8,1.33,0.65,3.11,Loreto,Oriente,RapidBox,Normal,1,0,189.27417477995974
PKG000021,CUST1104,frecuente,2024-03-26,2.9,1.11,2.86,3.49,Lima,Centro,EnvíaloYa,Normal,0,0,30.046905745467733
PKG000022,CUST0477,frecuente,2024-06-27,4.2,0.45,1.28,2.78,Callao,Centro,EnvíaloYa,Normal,0,0,69.10310240048045
PKG000023,CUST1253,nuevo,2024-08-11,1.5,0.28,1.11,2.74,Madre de Dios,Oriente,RapidBox,Normal,0,0,91.2554436441694
PKG000024,CUST0545,frecuente,2024-10-05,1.4,3.71,1.31,2.9,Puno,Sur,PerúGo,Normal,0,1,121.78693757195501
PKG000025,CUST1234,frecuente,2024-12-05,0.6,0.52,0.84,3.49,Arequipa,Sur,LogisticX,Normal,1,0,307.5872022061824
PKG000026,CUST0276,frecuente,2024-05-01,3.6,1.51,3.39,3.78,La Libertad,Norte,LogisticX,Normal,0,0,44.547172425738054
PKG000027,CUST1012,nuevo,2024-11-02,3.5,2.37,1.47,5.2,Cusco,Sur,EnvíaloYa,Express,1,0,144.40583100662553
PKG000028,CUST0587,premium,2024-11-12,8.3,3.01,4.15,5.1,Puno,Sur,FastCargo,Normal,1,0,179.5009442619521
PKG000029,CUST0728,premium,2024-01-29,4.0,1.73,0.89,2.46,Cusco,Sur,PerúGo,Normal,0,0,9.51276995128171
PKG000030,CUST0392,nuevo,2024-11-14,2.5,0.33,1.52,3.6,Tumbes,Norte,PerúGo,Normal,1,0,187.066604129922
PKG000031,CUST0757,nuevo,2024-04-14,3.3,0.41,3.01,3.58,Lima,Centro,EnvíaloYa,Normal,0,0,37.39225039548329
PKG000032,CUST0361,premium,2024-02-09,6.5,0.32,1.06,2.56,Lambayeque,Norte,EnvíaloYa,Normal,0,0,13.452786175860847
PKG000033,CUST1794,frecuente,2024-12-25,2.4,4.9,2.55,5.13,Ayacucho,Sur,PerúGo,Normal,1,0,594.7375587013862
PKG000034,CUST1395,nuevo,2024-12-27,3.6,0.3,2.23,5.13,Puno,Sur,RapidBox,Normal,1,0,674.1260684922345
PKG000035,CUST0724,nuevo,2024-12-08,3.7,1.5,2.29,4.38,Lima,Centro,EnvíaloYa,Normal,1,0,330.46631456257535
PKG000036,CUST0813,frecuente,2024-07-04,9.9,0.47,2.4,4.85,Junín,Centro,LogisticX,Express,0,0,72.65757199375166
PKG000037,CUST0040,nuevo,2024-02-29,0.5,3.15,1.52,2.8,Arequipa,Sur,RapidBox,Normal,0,1,20.55546300050125
PKG000038,CUST1347,frecuente,2024-11-23,3.9,4.96,3.46,6.54,Lima,Centro,LogisticX,Express,1,0,230.55015261973236
PKG000039,CUST0106,frecuente,2024-09-25,3.8,0.62,1.03,2.75,Lima,Centro,PerúGo,Normal,0,0,116.01816851707967
PKG000040,CUST0216,frecuente,2024-03-15,3.8,1.27,2.43,3.27,Lima,Centro,LogisticX,Normal,0,0,26.030446790889727
PKG000041,CUST0140,frecuente,2024-10-29,2.0,0.75,0.52,2.53,Junín,Centro,LogisticX,Normal,0,0,136.70944562683002
PKG000042,CUST1795,nuevo,2024-01-21,1.8,0.72,2.94,3.48,Lima,Centro,RapidBox,Normal,0,0,6.998744288695817
PKG000043,CUST0119,premium,2024-12-20,2.9,0.52,0.96,3.96,Lima,Centro,FastCargo,Normal,1,0,480.08457747860473
PKG000044,CUST0209,premium,2024-06-06,3.7,1.57,1.24,2.74,Lima,Centro,EnvíaloYa,Normal,0,0,59.89155536813722
PKG000045,CUST0172,frecuente,2024-11-20,0.5,2.38,1.51,3.67,Madre de Dios,Oriente,RapidBox,Normal,1,0,217.25115971299607
PKG000046,CUST1764,nuevo,2024-07-09,4.9,5.46,1.6,2.95,Lima,Centro,FastCargo,Normal,0,1,74.70931633152473
PKG000047,CUST1309,premium,2024-11-03,3.9,0.46,0.51,2.93,Lambayeque,Norte,FastCargo,Normal,1,0,146.8221791818457
PKG000048,CUST1552,nuevo,2024-11-06,4.0,0.41,5.07,5.58,Piura,Norte,EnvíaloYa,Normal,1,0,158.2447595963595
PKG000049,CUST0669,frecuente,2024-04-22,5.1,0.29,1.26,2.71,Callao,Centro,EnvíaloYa,Normal,0,0,40.87771990158115
PKG000050,CUST0355,premium,2024-12-28,1.7,1.1,1.57,6.53,Lima,Centro,RapidBox,Express,1,0,698.5614265472453
