package_id,customer_id,customer_type,delivery_date,delivery_days,package_value,package_weight_kg,delivery_cost,region,zone,provider,shipping_type,is_peak_season,is_profitable
PKG000000,CUST1259,frecuente,2024-08-16,2.8,0.34,2.67,1.91,Arequipa,Sur,RapidBox,Normal,0,0
PKG000001,CUST1354,nuevo,2024-12-25,1.4,0.69,0.82,3.7,Piura,Norte,FastCargo,Normal,1,0
PKG000002,CUST0062,frecuente,2024-11-29,16.9,0.36,3.76,1.96,Tacna,Sur,RapidBox,Normal,1,0
PKG000003,CUST0237,frecuente,2024-11-13,1.7,1.25,2.05,3.83,Callao,Centro,LogisticX,Normal,1,0
PKG000004,CUST0419,nuevo,2024-04-05,3.2,1.1,1.32,2.18,Puno,Sur,LogisticX,Normal,0,0
PKG000005,CUST0358,frecuente,2024-04-05,1.5,1.17,2.96,4.4,Lima,Centro,PerúGo,Normal,0,0
PKG000006,CUST0228,premium,2024-02-05,6.6,2.84,1.19,4.49,Lima,Centro,PerúGo,Normal,0,0
PKG000007,CUST0657,frecuente,2024-12-15,0.5,0.21,1.96,3.86,Pasco,Centro,EnvíaloYa,Normal,1,0
PKG000008,CUST0006,frecuente,2024-11-13,2.7,3.5,0.94,2.62,Junín,Centro,RapidBox,Express,1,0
PKG000009,CUST0630,premium,2024-11-26,3.2,0.29,1.76,1.7,Apurímac,Sur,FastCargo,Express,1,0
PKG000010,CUST1136,nuevo,2024-01-13,3.7,0.46,4.94,4.39,Lima,Centro,RapidBox,Express,0,0
PKG000011,CUST1087,premium,2024-12-28,2.2,0.24,1.97,3.93,Lambayeque,Norte,EnvíaloYa,Normal,1,0
PKG000012,CUST1527,frecuente,2024-12-11,0.8,1.5,1.44,2.34,San Martín,Oriente,LogisticX,Normal,1,0
PKG000013,CUST1890,frecuente,2024-05-09,1.8,1.06,1.13,2.13,Piura,Norte,PerúGo,Normal,0,0
PKG000014,CUST0133,frecuente,2024-04-20,3.2,0.65,1.21,3.78,Loreto,Oriente,EnvíaloYa,Normal,0,0
PKG000015,CUST0107,frecuente,2024-04-21,0.5,0.93,1.41,3.57,Callao,Centro,LogisticX,Normal,0,0
PKG000016,CUST1595,nuevo,2024-07-04,2.4,0.96,1.45,2.02,Junín,Centro,LogisticX,Normal,0,0
PKG000017,CUST0473,nuevo,2024-11-04,6.8,3.28,1.54,1.99,Tacna,Sur,FastCargo,Normal,1,1
PKG000018,CUST0049,frecuente,2024-09-20,8.2,0.27,0.7,2.02,Lima,Centro,RapidBox,Normal,0,0
PKG000019,CUST1091,premium,2024-06-26,3.2,0.26,1.4,3.79,Callao,Centro,FastCargo,Normal,0,0
PKG000020,CUST0521,premium,2024-11-14,1.8,1.33,0.65,3.48,Loreto,Oriente,RapidBox,Normal,1,0
PKG000021,CUST1104,frecuente,2024-03-26,2.9,1.11,2.86,3.88,Lima,Centro,EnvíaloYa,Normal,0,0
PKG000022,CUST0477,frecuente,2024-06-27,4.2,0.45,1.28,4.52,Callao,Centro,EnvíaloYa,Normal,0,0
PKG000023,CUST1253,nuevo,2024-08-11,1.5,0.28,1.11,1.93,Madre de Dios,Oriente,RapidBox,Normal,0,0
PKG000024,CUST0545,frecuente,2024-10-05,1.4,3.71,1.31,4.17,Puno,Sur,PerúGo,Normal,0,0
PKG000025,CUST1234,frecuente,2024-12-05,0.6,0.52,0.84,4.68,Arequipa,Sur,LogisticX,Normal,1,0
PKG000026,CUST0276,frecuente,2024-05-01,3.6,1.51,3.39,2.63,La Libertad,Norte,LogisticX,Normal,0,0
PKG000027,CUST1012,nuevo,2024-11-02,3.5,2.37,1.47,3.79,Cusco,Sur,EnvíaloYa,Express,1,0
PKG000028,CUST0587,premium,2024-11-12,8.3,3.01,4.15,2.18,Puno,Sur,FastCargo,Normal,1,1
PKG000029,CUST0728,premium,2024-01-29,4.0,1.73,0.89,4.23,Cusco,Sur,PerúGo,Normal,0,0
PKG000030,CUST0392,nuevo,2024-11-14,2.5,0.33,1.52,1.95,Tumbes,Norte,PerúGo,Normal,1,0
PKG000031,CUST0757,nuevo,2024-04-14,3.3,0.41,3.01,3.36,Lima,Centro,EnvíaloYa,Normal,0,0
PKG000032,CUST0361,premium,2024-02-09,6.5,0.32,1.06,2.16,Lambayeque,Norte,EnvíaloYa,Normal,0,0
PKG000033,CUST1794,frecuente,2024-12-25,2.4,4.9,2.55,4.48,Ayacucho,Sur,PerúGo,Normal,1,0
PKG000034,CUST1395,nuevo,2024-12-27,3.6,0.3,2.23,2.21,Puno,Sur,RapidBox,Normal,1,0
PKG000035,CUST0724,nuevo,2024-12-08,3.7,1.5,2.29,3.86,Lima,Centro,EnvíaloYa,Normal,1,0
PKG000036,CUST0813,frecuente,2024-07-04,9.9,0.47,2.4,4.14,Junín,Centro,LogisticX,Express,0,0
PKG000037,CUST0040,nuevo,2024-02-29,0.5,3.15,1.52,2.25,Arequipa,Sur,RapidBox,Normal,0,1
PKG000038,CUST1347,frecuente,2024-11-23,3.9,4.96,3.46,4.65,Lima,Centro,LogisticX,Express,1,0
PKG000039,CUST0106,frecuente,2024-09-25,3.8,0.62,1.03,3.85,Lima,Centro,PerúGo,Normal,0,0
PKG000040,CUST0216,frecuente,2024-03-15,3.8,1.27,2.43,3.76,Lima,Centro,LogisticX,Normal,0,0
PKG000041,CUST0140,frecuente,2024-10-29,2.0,0.75,0.52,1.76,Junín,Centro,LogisticX,Normal,0,0
PKG000042,CUST1795,nuevo,2024-01-21,1.8,0.72,2.94,4.2,Lima,Centro,RapidBox,Normal,0,0
PKG000043,CUST0119,premium,2024-12-20,2.9,0.52,0.96,2.17,Lima,Centro,FastCargo,Normal,1,0
PKG000044,CUST0209,premium,2024-06-06,3.7,1.57,1.24,2.14,Lima,Centro,EnvíaloYa,Normal,0,0
PKG000045,CUST0172,frecuente,2024-11-20,0.5,2.38,1.51,3.91,Madre de Dios,Oriente,RapidBox,Normal,1,0
PKG000046,CUST1764,nuevo,2024-07-09,4.9,5.46,1.6,1.53,Lima,Centro,FastCargo,Normal,0,1
PKG000047,CUST1309,premium,2024-11-03,3.9,0.46,0.51,1.64,Lambayeque,Norte,FastCargo,Normal,1,0
PKG000048,CUST1552,nuevo,2024-11-06,4.0,0.41,5.07,4.59,Piura,Norte,EnvíaloYa,Normal,1,0
PKG000049,CUST0669,frecuente,2024-04-22,5.1,0.29,1.26,4.12,Callao,Centro,EnvíaloYa,Normal,0,0
PKG000050,CUST0355,premium,2024-12-28,1.7,1.1,1.57,3.55,Lima,Centro,RapidBox,Express,1,0
PKG000051,CUST0146,frecuente,2024-12-04,2.8,2.87,1.56,1.7,Callao,Centro,PerúGo,Normal,1,0
PKG000052,CUST1695,premium,2024-12-24,2.7,0.18,3.18,3.55,Lima,Centro,RapidBox,Normal,1,0
PKG000053,CUST0331,frecuente,2024-12-19,1.4,1.18,3.56,2.09,Junín,Centro,LogisticX,Normal,1,0
PKG000054,CUST0263,frecuente,2024-11-12,2.6,1.52,1.3,3.86,Lima,Centro,LogisticX,Express,1,0
PKG000055,CUST0383,frecuente,2024-12-22,3.7,1.29,2.5,1.5,Callao,Centro,FastCargo,Normal,1,0
PKG000056,CUST0804,frecuente,2024-02-23,4.5,3.43,3.33,1.73,Arequipa,Sur,RapidBox,Normal,0,1
PKG000057,CUST1096,premium,2024-04-29,4.7,1.43,0.53,2.02,Moquegua,Sur,PerúGo,Normal,0,0
PKG000058,CUST0417,nuevo,2024-01-28,5.9,0.4,1.28,1.71,Junín,Centro,RapidBox,Normal,0,0
PKG000059,CUST0671,nuevo,2024-07-17,1.0,0.51,1.28,2.1,Puno,Sur,EnvíaloYa,Normal,0,0
